
epoch: 1, loss: 0.3812, norm: 0.1568, param_norm: 1192.8351, vb_loss: 0.0010, ce_loss: 0.1952:  28%|██▊       | 65/235 [00:13<00:15, 11.29it/s]
epoch: 1, loss: 0.3793, norm: 0.3026, param_norm: 1192.8857, vb_loss: 0.0002, ce_loss: 0.1898:  28%|██▊       | 65/235 [00:13<00:15, 11.29it/s]
epoch: 1, loss: 0.3775, norm: 0.1711, param_norm: 1192.9325, vb_loss: 0.0009, ce_loss: 0.1943:  28%|██▊       | 65/235 [00:13<00:15, 11.29it/s]
epoch: 1, loss: 0.3775, norm: 0.1711, param_norm: 1192.9325, vb_loss: 0.0009, ce_loss: 0.1943:  29%|██▊       | 67/235 [00:13<00:14, 11.22it/s]
epoch: 1, loss: 0.3756, norm: 0.2340, param_norm: 1192.9767, vb_loss: 0.0002, ce_loss: 0.1919:  29%|██▊       | 67/235 [00:13<00:14, 11.22it/s]
epoch: 1, loss: 0.3738, norm: 0.1798, param_norm: 1193.0220, vb_loss: 0.0002, ce_loss: 0.1908:  29%|██▊       | 67/235 [00:13<00:14, 11.22it/s]
epoch: 1, loss: 0.3738, norm: 0.1798, param_norm: 1193.0220, vb_loss: 0.0002, ce_loss: 0.1908:  29%|██▉       | 69/235 [00:13<00:15, 10.90it/s]
epoch: 1, loss: 0.3719, norm: 0.3170, param_norm: 1193.0690, vb_loss: 0.0002, ce_loss: 0.1913:  29%|██▉       | 69/235 [00:14<00:15, 10.90it/s]
epoch: 1, loss: 0.3701, norm: 0.1802, param_norm: 1193.1128, vb_loss: 0.0006, ce_loss: 0.1940:  29%|██▉       | 69/235 [00:14<00:15, 10.90it/s]
epoch: 1, loss: 0.3701, norm: 0.1802, param_norm: 1193.1128, vb_loss: 0.0006, ce_loss: 0.1940:  30%|███       | 71/235 [00:14<00:14, 11.19it/s]
epoch: 1, loss: 0.3683, norm: 0.2549, param_norm: 1193.1522, vb_loss: 0.0008, ce_loss: 0.1872:  30%|███       | 71/235 [00:14<00:14, 11.19it/s]
epoch: 1, loss: 0.3665, norm: 0.2114, param_norm: 1193.1919, vb_loss: 0.0002, ce_loss: 0.1908:  30%|███       | 71/235 [00:14<00:14, 11.19it/s]
epoch: 1, loss: 0.3665, norm: 0.2114, param_norm: 1193.1919, vb_loss: 0.0002, ce_loss: 0.1908:  31%|███       | 73/235 [00:14<00:14, 11.34it/s]
epoch: 1, loss: 0.3648, norm: 0.2168, param_norm: 1193.2261, vb_loss: 0.0002, ce_loss: 0.1897:  31%|███       | 73/235 [00:14<00:14, 11.34it/s]
epoch: 1, loss: 0.3630, norm: 0.1631, param_norm: 1193.2511, vb_loss: 0.0008, ce_loss: 0.1915:  31%|███       | 73/235 [00:14<00:14, 11.34it/s]
epoch: 1, loss: 0.3630, norm: 0.1631, param_norm: 1193.2511, vb_loss: 0.0008, ce_loss: 0.1915:  32%|███▏      | 75/235 [00:14<00:14, 11.18it/s]
epoch: 1, loss: 0.3613, norm: 0.2046, param_norm: 1193.2740, vb_loss: 0.0002, ce_loss: 0.1918:  32%|███▏      | 75/235 [00:14<00:14, 11.18it/s]
epoch: 1, loss: 0.3596, norm: 0.2850, param_norm: 1193.3038, vb_loss: 0.0002, ce_loss: 0.1844:  32%|███▏      | 75/235 [00:14<00:14, 11.18it/s]
epoch: 1, loss: 0.3596, norm: 0.2850, param_norm: 1193.3038, vb_loss: 0.0002, ce_loss: 0.1844:  33%|███▎      | 77/235 [00:14<00:14, 11.25it/s]
epoch: 1, loss: 0.3579, norm: 0.2618, param_norm: 1193.3372, vb_loss: 0.0002, ce_loss: 0.1946:  33%|███▎      | 77/235 [00:14<00:14, 11.25it/s]
epoch: 1, loss: 0.3562, norm: 0.0911, param_norm: 1193.3661, vb_loss: 0.0002, ce_loss: 0.1848:  33%|███▎      | 77/235 [00:14<00:14, 11.25it/s]
epoch: 1, loss: 0.3562, norm: 0.0911, param_norm: 1193.3661, vb_loss: 0.0002, ce_loss: 0.1848:  34%|███▎      | 79/235 [00:14<00:13, 11.31it/s]
epoch: 1, loss: 0.3545, norm: 0.1471, param_norm: 1193.3912, vb_loss: 0.0010, ce_loss: 0.1888:  34%|███▎      | 79/235 [00:14<00:13, 11.31it/s]
epoch: 1, loss: 0.3528, norm: 0.1313, param_norm: 1193.4216, vb_loss: 0.0002, ce_loss: 0.1816:  34%|███▎      | 79/235 [00:15<00:13, 11.31it/s]
epoch: 1, loss: 0.3528, norm: 0.1313, param_norm: 1193.4216, vb_loss: 0.0002, ce_loss: 0.1816:  34%|███▍      | 81/235 [00:15<00:13, 11.31it/s]
epoch: 1, loss: 0.3511, norm: 0.4078, param_norm: 1193.4550, vb_loss: 0.0002, ce_loss: 0.1829:  34%|███▍      | 81/235 [00:15<00:13, 11.31it/s]
epoch: 1, loss: 0.3495, norm: 0.4345, param_norm: 1193.4843, vb_loss: 0.0002, ce_loss: 0.1926:  34%|███▍      | 81/235 [00:15<00:13, 11.31it/s]
